Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-12-24 00:00:00,14619,14619,13993.5,14297.64,942.22,13388374.88,14209.42
2017-12-24 00:30:00,14226.17,14619.1,14226.17,14531.52,223.2,3230067.86,14471.66
2017-12-24 01:00:00,14513.59,14557.38,14152.19,14243.38,290.71,4179898.16,14378.25
2017-12-24 01:30:00,14265.49,14329.98,14016.16,14173.05,208.39,2951093.13,14161.12
2017-12-24 02:00:00,14173.08,14173.09,13803.2,13953.55,529.95,7369554.72,13906.26
2017-12-24 02:30:00,13991.42,14116.9,13499,13499,404.39,5555846.17,13738.83
2017-12-24 03:00:00,13498,14046.58,13462.82,14013.28,499.89,6896362.25,13795.66
2017-12-24 03:30:00,13980,14294.25,13951.08,14185.39,290.97,4115937.23,14145.35
2017-12-24 04:00:00,14185.38,14221.96,13768.78,13790.33,337.07,4718260.94,13997.77
2017-12-24 04:30:00,13866.69,13949.58,13591.99,13830.23,269.72,3709453.24,13753.14
2017-12-24 05:00:00,13830,14011.55,13810.09,13982.54,165.91,2313994.32,13947.61
2017-12-24 05:30:00,13982.53,14187.56,13849.14,14122.27,181.35,2544092.1,14029.01
2017-12-24 06:00:00,14186.62,14235.22,14050.06,14228.01,141.84,2005652.14,14140.46
2017-12-24 06:30:00,14235.22,14469.89,14228.01,14469.02,175.41,2521225.18,14373.34
2017-12-24 07:00:00,14441.3,14567,14368.01,14437.95,192.9,2792309.37,14475.74
2017-12-24 07:30:00,14400,14437.97,14152.19,14208.91,207.05,2947029.49,14233.1
2017-12-24 08:00:00,14208.91,14337,14056.73,14226.54,192.93,2730403.18,14152.28
2017-12-24 08:30:00,14269.88,14383.65,14195.03,14369.85,130.42,1864573.66,14296.21
2017-12-24 09:00:00,14370,14386.32,14056.75,14194.52,149.02,2112994.77,14179.05
2017-12-24 09:30:00,14193.97,14267.25,13627,13747.16,622,8614324.75,13849.45
2017-12-24 10:00:00,13699.9,13718.5,13196.57,13336.76,1075.86,14404252.33,13388.56
2017-12-24 10:30:00,13337.77,13597.96,13243.79,13488,520.44,7024558.86,13497.32
2017-12-24 11:00:00,13486.89,13489.99,12850,12985.16,931.99,12214986.31,13106.29
2017-12-24 11:30:00,12987.08,13229.56,12800,13223.98,597.11,7762524.1,13000.22
2017-12-24 12:00:00,13223.98,13224.66,12585.13,12682.23,982.78,12645720.34,12867.34
2017-12-24 12:30:00,12672.09,12983.83,12488,12950,762.23,9709741.84,12738.61
2017-12-24 13:00:00,12951.12,13395.76,12950.01,13235.83,755.63,9989627.47,13220.19
2017-12-24 13:30:00,13235.81,13530.22,13105.1,13501,402.8,5348279.78,13277.79
2017-12-24 14:00:00,13502,13600,13295.79,13472.77,507.9,6841694.8,13470.64
2017-12-24 14:30:00,13472.75,13871.7,13307,13744.82,486.73,6636279,13634.41
2017-12-24 15:00:00,13722.82,13789.99,13333,13400.02,318.52,4313603.21,13542.54
2017-12-24 15:30:00,13400.01,13530,13130.83,13388.99,524.62,6972086.56,13289.69
2017-12-24 16:00:00,13383.01,13666.03,13354.57,13598.47,346,4671434.16,13501.18
2017-12-24 16:30:00,13575.46,13700.2,13395.76,13490.22,92.61,1257456.75,13577.44
